Pokemon,Shape
Excadrill,Pokémon with a quadruped body
Terrakion,Pokémon with a quadruped body
Volcarona,Pokémon with wings
Amoonguss,Pokémon with a head and a base
Tornadus,Pokémon with wings
Jellicent,Pokémon with tentacles or a multiped body
Thundurus-Therian,Pokémon with wings
Latias,Pokémon with a quadruped body
Gothitelle,Pokémon with a bipedal, tailless form
Hydreigon,Pokémon with wings
Reuniclus,Pokémon with a head and a base
Xatu,Pokémon with wings
Mienshao,Pokémon with a bipedal, tailless form
Bisharp,Pokémon with a head and legs
Kyurem,Pokémon with a quadruped body
Haxorus,Pokémon with a quadruped body
Tangrowth,Pokémon with tentacles or a multiped body
Wobbuffet,Pokémon with a head and legs
Accelgor,Pokémon with a head and a base
Conkeldurr,Pokémon with a bipedal, tailless form
Archeops,Pokémon with wings
Galvantula,Pokémon with tentacles or a multiped body
Lilligant,Pokémon with a head and a base
Sableye,Pokémon with a head and a base
Alomomola,Pokémon with a quadruped body
Chandelure,Pokémon with a head and a base
Samurott,Pokémon with a quadruped body
Krookodile,Pokémon with a quadruped body
Victini,Pokémon with a head and a base
Riolu,Pokémon with a bipedal, tailless form
Cofagrigus,Pokémon with a head and a base
Sigilyph,Pokémon with wings
Aron,Pokémon with a quadruped body
Garbodor,Pokémon with a head and a base
Swoobat,Pokémon with wings
Mantine,Pokémon with wings
Whimsicott,Pokémon with a head and a base
Scolipede,Pokémon with a head and a base
Gurdurr,Pokémon with a bipedal, tailless form
Zoroark,Pokémon with a bipedal, tailless form
Eelektross,Pokémon with tentacles or a multiped body
Duosion,Pokémon with a head and a base
Durant,Pokémon with a head and legs
Scrafty,Pokémon with a bipedal, tailless form
Vanilluxe,Pokémon with a head and a base
Relicanth,Pokémon with a quadruped body
Metagross-Mega,Pokémon with a head and a base
Manaphy,Pokémon with a head and a base
Talonflame,Pokémon with wings
Scizor-Mega,Pokémon with a head and a base
Tornadus-Therian,Pokémon with wings
Venusaur-Mega,Pokémon with a head and a base
Gardevoir-Mega,Pokémon with a head and a base
Klefki,Pokémon with a head and a base
Medicham-Mega,Pokémon with a head and a base
Serperior,Pokémon with a quadruped body
Thundurus,Pokémon with wings
Charizard-Mega-X,Pokémon with wings
Charizard-Mega-Y,Pokémon with wings
Lopunny-Mega,Pokémon with a head and a base
Blastoise-Mega,Pokémon with a head and a base
Slowbro-Mega,Pokémon with a head and a base
Diancie-Mega,Pokémon with a head and a base
Diggersby,Pokémon with a quadruped body
Pinsir-Mega,Pokémon with a head and a base
Latias-Mega,Pokémon with a quadruped body
Alakazam-Mega,Pokémon with a head and a base
Manectric-Mega,Pokémon with a quadruped body
Altaria-Mega,Pokémon with wings
Volcanion,Pokémon with a head and a base
Heracross-Mega,Pokémon with a head and a base
Doublade,Pokémon with a head and a base
Crawdaunt,Pokémon with a quadruped body
Gyarados-Mega,Pokémon with a head and a base
Seismitoad,Pokémon with a quadruped body
Sceptile-Mega,Pokémon with a quadruped body
Meowstic,Pokémon with a head and a base
Sylveon,Pokémon with a quadruped body
Tyranitar-Mega,Pokémon with a quadruped body
Hoopa,Pokémon with a head and a base
Swampert-Mega,Pokémon with a quadruped body
Latios-Mega,Pokémon with a quadruped body
Aromatisse,Pokémon with a head and a base
Zygarde,Pokémon with a quadruped body
Meloetta,Pokémon with a head and a base
Mandibuzz,Pokémon with wings
Pidgeot-Mega,Pokémon with wings
Dragalge,Pokémon with a head and a base
Aerodactyl-Mega,Pokémon with wings
Chatot,Pokémon with wings
Ampharos-Mega,Pokémon with a quadruped body
Heliolisk,Pokémon with a quadruped body
Chesnaught,Pokémon with a quadruped body
Gallade-Mega,Pokémon with a head and a base
Pangoro,Pokémon with a bipedal, tailless form
Sharpedo-Mega,Pokémon with a head and a base
Goodra,Pokémon with a quadruped body
Slurpuff,Pokémon with a quadruped body
Musharna,Pokémon with a head and a base
Beedrill-Mega,Pokémon with a head and a base
Absol-Mega,Pokémon with a quadruped body
Emboar,Pokémon with a quadruped body
Cobalion,Pokémon with a quadruped body
Houndoom-Mega,Pokémon with a quadruped body
Garchomp-Mega,Pokémon with a quadruped body
Hawlucha,Pokémon with wings
Aggron-Mega,Pokémon with a quadruped body
Audino-Mega,Pokémon with a head and a base
Steelix-Mega,Pokémon with a quadruped body
Darmanitan,Pokémon with a quadruped body
Florges,Pokémon with a head and a base
Escavalier,Pokémon with a quadruped body
Abomasnow-Mega,Pokémon with a quadruped body
Druddigon,Pokémon with a quadruped body
Stoutland,Pokémon with a quadruped body
Malamar,Pokémon with a head and arms
Trevenant,Pokémon with a quadruped body
Avalugg,Pokémon with a quadruped body
Zangoose,Pokémon with a quadruped body
Manectric,Pokémon with a quadruped body
Noivern,Pokémon with wings
Aggron,Pokémon with a quadruped body
Tyrantrum,Pokémon with a quadruped body
Cottonee,Pokémon with a head and a base
Torkoal,Pokémon with a quadruped body
Gourgeist-Super,Pokémon with a quadruped body
Diancie,Pokémon with a head and a base
Roselia,Pokémon with a head and a base
Bastiodon,Pokémon with a quadruped body
Octillery,Pokémon with a head and a base
Banette-Mega,Pokémon with a head and a base
Camerupt-Mega,Pokémon with a quadruped body
Murkrow,Pokémon with wings
Mismagius,Pokémon with a head and a base
Liepard,Pokémon with a quadruped body
Barbaracle,Pokémon with a head and arms
Crustle,Pokémon with a quadruped body
Cinccino,Pokémon with a quadruped body
Illumise,Pokémon with wings
Mimikyu,Pokémon with a quadruped body
Greninja,Pokémon with a bipedal, tailless form
Magearna,Pokémon with a head and a base
Tapu Lele,Pokémon with a quadruped body
Aegislash,Pokémon with a head and a base
Mawile-Mega,Pokémon with a head and a base
Primarina,Pokémon with a quadruped body
Zeraora,Pokémon with a bipedal, tailless form
Kartana,Pokémon with a head and arms
Naganadel,Pokémon with a head and a base
Pheromosa,Pokémon with a head and a base
Buzzwole,Pokémon with a quadruped body
Xurkitree,Pokémon with a head and a base
Guzzlord,Pokémon with a quadruped body
Stakataka,Pokémon with a head and a base
Necrozma,Pokémon with a head and a base
Marshadow,Pokémon with a bipedal, tailless form
Giratina,Pokémon with wings
Eternatus,Pokémon with a head and a base
Zacian,Pokémon with a head and a base
Zamazenta,Pokémon with a quadruped body
Urshifu,Pokémon with a bipedal, tailless form
Regidrago,Pokémon with a head and a base
Regieleki,Pokémon with a head and a base
Calyrex,Pokémon with a head and a base
Calyrex-Ice,Pokémon with a head and a base
Calyrex-Shadow,Pokémon with a head and a base
Silicobra,Pokémon with a quadruped body
Sandaconda,Pokémon with a quadruped body
Calyrex-Shadow,Pokémon with a head and a base
